,player_id,player_name,goal,shot
226,5631.0,Blas Antonio Miguel Pérez Ortega,0.0,1.0
227,3509.0,Thibaut Courtois,0.0,0.0
228,5633.0,Yannick Ferreira Carrasco,0.0,6.0
229,3077.0,Jan Vertonghen,1.0,2.0
230,5639.0,Anga Dedryck Boyata,0.0,1.0
231,3089.0,Kevin De Bruyne,1.0,9.0
232,3176.0,Thomas Meunier,1.0,6.0
233,5646.0,Aníbal Cesis Godoy,0.0,2.0
234,5642.0,Axel Witsel,0.0,6.0
235,5630.0,Dries Mertens,1.0,6.0
236,3289.0,Romelu Lukaku Menama,4.0,14.0
237,5636.0,Jaime Manuel Penedo Cano,0.0,0.0
238,5641.0,Michael Amir Murillo Bermudez,0.0,2.0
239,5637.0,Edgar Yoel Bárcenas Herrera,0.0,5.0
240,5640.0,Gabriel Enrique Gómez Girón,0.0,0.0
241,5628.0,José Luis Rodríguez Francis,0.0,3.0
242,20005.0,Toby Alderweireld,0.0,5.0
243,5634.0,Erick Javier Davis Grajales,0.0,0.0
244,3621.0,Eden Hazard,3.0,16.0
245,5635.0,Román Aureliano Torres Morcillo,0.0,4.0
246,5644.0,Ismael Díaz De León,0.0,0.0
247,5629.0,Gabriel Arturo Torres Tejada,0.0,1.0
248,5643.0,Luis Carlos Tejada Hansell,0.0,0.0
249,3037.0,Mousa Sidi Yaya Dembélé,0.0,0.0
250,5632.0,Thorgan Hazard,0.0,3.0
251,4831.0,Nacer Chadli,1.0,3.0
252,3094.0,Bamidele Alli,1.0,6.0
253,3244.0,John Stones,2.0,6.0
254,3205.0,Kyle Walker,0.0,0.0
255,3532.0,Jordan Brian Henderson,0.0,4.0
256,3336.0,Harry Maguire,1.0,11.0
257,3612.0,Ashley Young,0.0,0.0
258,3308.0,Kieran Trippier,1.0,0.0
259,5653.0,Mouez Hassen,0.0,0.0
260,5651.0,Yassine Meriah,0.0,0.0
261,5647.0,Ali Maâloul,0.0,0.0
262,5656.0,Syam Ben Youssef,0.0,0.0
263,5655.0,Dylan Daniel Mahmoud Bronn,1.0,1.0
264,3767.0,Ellyes Joris Skhiri,0.0,0.0
265,3293.0,Jesse Lingard,1.0,16.0
266,10955.0,Harry Kane,6.0,11.0
267,5650.0,Ferjani Sassi,1.0,4.0
268,5654.0,Fakhreddine Ben Youssef,1.0,7.0
269,3196.0,Wahbi Khazri,2.0,12.0
